MAVLink 2 参数协议读写记录
开始时间: 2026-07-07 15:57:05
监听端口: UDP 14551
========================================================================
[输出] 日志文件: my_param_log.txt
[连接] 正在监听: udpin:0.0.0.0:14551
[连接] 等待 HEARTBEAT（请确认 SITL 已启动且 --out 包含 14551）...
[连接] 已收到心跳 | target_system=1, target_component=0
[参数] 发送 param_request_list() 请求全部参数...
[参数] 飞控报告参数总数: 1339
[参数] 实际收到 1339 个参数
[参数] 全部参数列表（按名称排序）：
------------------------------------------------------------------------
    序号  参数名                          值    类型
   654  RC1_MAX                   2000     4
   655  RC1_MIN                   1000     4
   656  RC1_OPTION                   0     4
   657  RC1_REVERSED                 0     2
   658  RC1_TRIM                  1500     4
   659  RC2_DZ                      20     4
   660  RC2_MAX                   2000     4
   661  RC2_MIN                   1000     4
   662  RC2_OPTION                   0     4
   663  RC2_REVERSED                 0     2
   664  RC2_TRIM                  1500     4
   665  RC3_DZ                      30     4
   666  RC3_MAX                   2000     4
   667  RC3_MIN                   1000     4
   668  RC3_OPTION                   0     4
   669  RC3_REVERSED                 0     2
   670  RC3_TRIM                  1500     4
   671  RC4_DZ                      20     4
   672  RC4_MAX                   2000     4
   673  RC4_MIN                   1000     4
   674  RC4_OPTION                   0     4
   675  RC4_REVERSED                 0     2
   676  RC4_TRIM                  1500     4
   677  RC5_DZ                       0     4
   678  RC5_MAX                   2000     4
   679  RC5_MIN                   1000     4
   680  RC5_OPTION                   0     4
   681  RC5_REVERSED                 0     2
   682  RC5_TRIM                  1500     4
   683  RC6_DZ                       0     4
   684  RC6_MAX                   2000     4
   685  RC6_MIN                   1000     4
   686  RC6_OPTION                   0     4
   687  RC6_REVERSED                 0     2
   688  RC6_TRIM                  1500     4
   689  RC7_DZ                       0     4
   690  RC7_MAX                   2000     4
   691  RC7_MIN                   1000     4
   692  RC7_OPTION                   7     4
   693  RC7_REVERSED                 0     2
   694  RC7_TRIM                  1500     4
   695  RC8_DZ                       0     4
   696  RC8_MAX                   2000     4
   697  RC8_MIN                   1000     4
   698  RC8_OPTION                   0     4
   699  RC8_REVERSED                 0     2
   700  RC8_TRIM                  1500     4
   701  RC9_DZ                       0     4
   702  RC9_MAX                   1900     4
   703  RC9_MIN                   1100     4
   704  RC9_OPTION                   0     4
   705  RC9_REVERSED                 0     2
   706  RC9_TRIM                  1500     4
   707  RCMAP_PITCH                  2     2
   708  RCMAP_ROLL                   1     2
   709  RCMAP_THROTTLE               3     2
   710  RCMAP_YAW                    4     2
   711  RC_FS_TIMEOUT                1     9
   712  RC_OPTIONS                  32     6
   713  RC_OVERRIDE_TIME             3     9
   714  RC_PROTOCOLS                 1     6
   715  RC_SPEED                   490     4
   716  RELAY_DEFAULT                0     2
   717  RELAY_PIN                   13     2
   718  RELAY_PIN2                  -1     2
   719  RELAY_PIN3                  -1     2
   720  RELAY_PIN4                  -1     2
   721  RELAY_PIN5                  -1     2
   722  RELAY_PIN6                  -1     2
   723  RNGFND1_TYPE                 0     2
   724  RNGFND2_TYPE                 0     2
   725  RNGFND3_TYPE                 0     2
   726  RNGFND4_TYPE                 0     2
   727  RNGFND5_TYPE                 0     2
   728  RNGFND6_TYPE                 0     2
   729  RNGFND7_TYPE                 0     2
   730  RNGFND8_TYPE                 0     2
   731  RNGFND9_TYPE                 0     2
   732  RNGFNDA_TYPE                 0     2
   733  RNGFND_FILT                0.5     9
   734  RPM1_TYPE                    0     2
   735  RPM2_TYPE                    0     2
   736  RSSI_TYPE                    0     2
   737  RTL_ALT                   1500     6
   738  RTL_ALT_FINAL                0     4
   739  RTL_ALT_TYPE                 0     2
   740  RTL_CLIMB_MIN                0     4
   741  RTL_CONE_SLOPE               3     9
   742  RTL_LOIT_TIME             5000     6
   743  RTL_OPTIONS                  0     6
   744  RTL_SPEED                    0     4
   745  SCHED_DEBUG                  0     2
   746  SCHED_LOOP_RATE            400     4
   747  SCHED_OPTIONS                0     2
   748  SCR_ENABLE                   0     2
   749  SERIAL0_BAUD               115     6
   750  SERIAL0_PROTOCOL             2     2
   751  SERIAL1_BAUD                57     6
   752  SERIAL1_OPTIONS              0     4
   753  SERIAL1_PROTOCOL             2     2
   754  SERIAL2_BAUD                57     6
   755  SERIAL2_OPTIONS              0     4
   756  SERIAL2_PROTOCOL             2     2
   757  SERIAL3_BAUD                38     6
   758  SERIAL3_OPTIONS              0     4
   759  SERIAL3_PROTOCOL             5     2
   760  SERIAL4_BAUD                38     6
   761  SERIAL4_OPTIONS              0     4
   762  SERIAL4_PROTOCOL             5     2
   763  SERIAL5_BAUD                57     6
   764  SERIAL5_OPTIONS              0     4
   765  SERIAL5_PROTOCOL            -1     2
   766  SERIAL6_BAUD                57     6
   767  SERIAL6_OPTIONS              0     4
   768  SERIAL6_PROTOCOL            -1     2
   769  SERIAL7_BAUD                57     6
   770  SERIAL7_OPTIONS              0     4
   771  SERIAL7_PROTOCOL            -1     2
   772  SERIAL_PASS1                 0     2
   773  SERIAL_PASS2                -1     2
   774  SERIAL_PASSTIMO             15     2
   775  SERVO10_FUNCTION             0     4
   776  SERVO10_MAX               1900     4
   777  SERVO10_MIN               1100     4
   778  SERVO10_REVERSED             0     2
   779  SERVO10_TRIM              1500     4
   780  SERVO11_FUNCTION             0     4
   781  SERVO11_MAX               1900     4
   782  SERVO11_MIN               1100     4
   783  SERVO11_REVERSED             0     2
   784  SERVO11_TRIM              1500     4
   785  SERVO12_FUNCTION             0     4
   786  SERVO12_MAX               1900     4
   787  SERVO12_MIN               1100     4
   788  SERVO12_REVERSED             0     2
   789  SERVO12_TRIM              1500     4
   790  SERVO13_FUNCTION             0     4
   791  SERVO13_MAX               1900     4
   792  SERVO13_MIN               1100     4
   793  SERVO13_REVERSED             0     2
   794  SERVO13_TRIM              1500     4
   795  SERVO14_FUNCTION             0     4
   796  SERVO14_MAX               1900     4
   797  SERVO14_MIN               1100     4
   798  SERVO14_REVERSED             0     2
   799  SERVO14_TRIM              1500     4
   800  SERVO15_FUNCTION             0     4
   801  SERVO15_MAX               1900     4
   802  SERVO15_MIN               1100     4
   803  SERVO15_REVERSED             0     2
   804  SERVO15_TRIM              1500     4
   805  SERVO16_FUNCTION             0     4
   806  SERVO16_MAX               1900     4
   807  SERVO16_MIN               1100     4
   808  SERVO16_REVERSED             0     2
   809  SERVO16_TRIM              1500     4
   810  SERVO1_FUNCTION             33     4
   811  SERVO1_MAX                1900     4
   812  SERVO1_MIN                1100     4
   813  SERVO1_REVERSED              0     2
   814  SERVO1_TRIM               1500     4
   815  SERVO2_FUNCTION             34     4
   816  SERVO2_MAX                1900     4
   817  SERVO2_MIN                1100     4
   818  SERVO2_REVERSED              0     2
   819  SERVO2_TRIM               1500     4
   820  SERVO3_FUNCTION             35     4
   821  SERVO3_MAX                1900     4
   822  SERVO3_MIN                1100     4
   823  SERVO3_REVERSED              0     2
   824  SERVO3_TRIM               1500     4
   825  SERVO4_FUNCTION             36     4
   826  SERVO4_MAX                1900     4
   827  SERVO4_MIN                1100     4
   828  SERVO4_REVERSED              0     2
   829  SERVO4_TRIM               1500     4
   830  SERVO5_FUNCTION              0     4
   831  SERVO5_MAX                1900     4
   832  SERVO5_MIN                1100     4
   833  SERVO5_REVERSED              0     2
   834  SERVO5_TRIM               1500     4
   835  SERVO6_FUNCTION              0     4
   836  SERVO6_MAX                1900     4
   837  SERVO6_MIN                1100     4
   838  SERVO6_REVERSED              0     2
   839  SERVO6_TRIM               1500     4
   840  SERVO7_FUNCTION              0     4
   841  SERVO7_MAX                1900     4
   842  SERVO7_MIN                1100     4
   843  SERVO7_REVERSED              0     2
   844  SERVO7_TRIM               1500     4
   845  SERVO8_FUNCTION              0     4
   846  SERVO8_MAX                1900     4
   847  SERVO8_MIN                1100     4
   848  SERVO8_REVERSED              0     2
   849  SERVO8_TRIM               1500     4
   850  SERVO9_FUNCTION              0     4
   851  SERVO9_MAX                1900     4
   852  SERVO9_MIN                1100     4
   853  SERVO9_REVERSED              0     2
   854  SERVO9_TRIM               1500     4
   855  SERVO_32_ENABLE              0     2
   856  SERVO_DSHOT_ESC              0     2
   857  SERVO_DSHOT_RATE             0     2
   858  SERVO_FTW_MASK               0     6
   859  SERVO_FTW_POLES             14     2
   860  SERVO_FTW_RVMASK             0     6
   861  SERVO_GPIO_MASK              0     6
   862  SERVO_RATE                  50     4
   863  SERVO_ROB_POSMAX          4095     6
   864  SERVO_ROB_POSMIN             0     6
   865  SERVO_SBUS_RATE             50     4
   866  SERVO_VOLZ_MASK              0     6
   867  SID_AXIS                     0     2
   868  SIMPLE                       0     2
   869  SIM_ACC1_BIAS_X              0     9
   870  SIM_ACC1_BIAS_Y              0     9
   871  SIM_ACC1_BIAS_Z              0     9
   872  SIM_ACC1_RND                 0     9
   873  SIM_ACC1_SCAL_X              0     9
   874  SIM_ACC1_SCAL_Y              0     9
   875  SIM_ACC1_SCAL_Z              0     9
   876  SIM_ACC2_BIAS_X              0     9
   877  SIM_ACC2_BIAS_Y              0     9
   878  SIM_ACC2_BIAS_Z              0     9
   879  SIM_ACC2_RND                 0     9
   880  SIM_ACC2_SCAL_X              0     9
   881  SIM_ACC2_SCAL_Y              0     9
   882  SIM_ACC2_SCAL_Z              0     9
   883  SIM_ACC3_BIAS_X              0     9
   884  SIM_ACC3_BIAS_Y              0     9
   885  SIM_ACC3_BIAS_Z              0     9
   886  SIM_ACC3_RND                 0     9
   887  SIM_ACC3_SCAL_X              0     9
   888  SIM_ACC3_SCAL_Y              0     9
   889  SIM_ACC3_SCAL_Z              0     9
   890  SIM_ACCEL1_FAIL              0     9
   891  SIM_ACCEL2_FAIL              0     9
   892  SIM_ACCEL3_FAIL              0     9
   893  SIM_ACC_FAIL_MSK             0     2
   894  SIM_ACC_FILE_RW              0     2
   895  SIM_ACC_TRIM_X               0     9
   896  SIM_ACC_TRIM_Y               0     9
   897  SIM_ACC_TRIM_Z               0     9
   898  SIM_ADSB_ALT              1000     9
   899  SIM_ADSB_COUNT              -1     4
   900  SIM_ADSB_RADIUS          10000     9
   901  SIM_ADSB_TX                  0     2
   902  SIM_ARSPD2_FAIL              0     9
   903  SIM_ARSPD2_FAILP             0     9
   904  SIM_ARSPD2_OFS            2013     9
   905  SIM_ARSPD2_PITOT             0     9
   906  SIM_ARSPD2_RATIO          1.99     9
   907  SIM_ARSPD2_RND               2     9
   908  SIM_ARSPD2_SIGN              0     2
   909  SIM_ARSPD_FAIL               0     9
   910  SIM_ARSPD_FAILP              0     9
   911  SIM_ARSPD_OFS             2013     9
   912  SIM_ARSPD_PITOT              0     9
   913  SIM_ARSPD_RATIO           1.99     9
   914  SIM_ARSPD_RND                2     9
   915  SIM_ARSPD_SIGN               0     2
   916  SIM_BAR2_DELAY               0     4
   917  SIM_BAR2_DISABLE             0     2
   918  SIM_BAR2_DRIFT               0     9
   919  SIM_BAR2_FREEZE              0     2
   920  SIM_BAR2_GLITCH              0     9
   921  SIM_BAR2_RND               0.2     9
   922  SIM_BAR2_WCF_BAK             0     9
   923  SIM_BAR2_WCF_DN              0     9
   924  SIM_BAR2_WCF_FWD             0     9
   925  SIM_BAR2_WCF_LFT             0     9
   926  SIM_BAR2_WCF_RGT             0     9
   927  SIM_BAR2_WCF_UP              0     9
   928  SIM_BAR3_DELAY               0     4
   929  SIM_BAR3_DISABLE             0     2
   930  SIM_BAR3_DRIFT               0     9
   931  SIM_BAR3_FREEZE              0     2
   932  SIM_BAR3_GLITCH              0     9
   933  SIM_BAR3_RND               0.2     9
   934  SIM_BAR3_WCF_BAK             0     9
   935  SIM_BAR3_WCF_DN              0     9
   936  SIM_BAR3_WCF_FWD             0     9
   937  SIM_BAR3_WCF_LFT             0     9
   938  SIM_BAR3_WCF_RGT             0     9
   939  SIM_BAR3_WCF_UP              0     9
   940  SIM_BARO_COUNT               2     2
   941  SIM_BARO_DELAY               0     4
   942  SIM_BARO_DISABLE             0     2
   943  SIM_BARO_DRIFT               0     9
   944  SIM_BARO_FREEZE              0     2
   945  SIM_BARO_GLITCH              0     9
   946  SIM_BARO_RND                 0     9
   947  SIM_BARO_WCF_BAK             0     9
   948  SIM_BARO_WCF_DN              0     9
   949  SIM_BARO_WCF_FWD             0     9
   950  SIM_BARO_WCF_LFT             0     9
   951  SIM_BARO_WCF_RGT             0     9
   952  SIM_BARO_WCF_UP              0     9
   953  SIM_BATT_CAP_AH              0     9
   954  SIM_BATT_VOLTAGE          12.6     9
   955  SIM_BAUDLIMIT_EN             0     2
   956  SIM_DRIFT_SPEED           0.05     9
   957  SIM_DRIFT_TIME               5     9
   958  SIM_EFI_TYPE                 0     2
   959  SIM_ENGINE_FAIL              0     2
   960  SIM_ENGINE_MUL               1     9
   961  SIM_ESC_ARM_RPM              0     9
   962  SIM_ESC_TELEM                1     2
   963  SIM_FLOAT_EXCEPT             1     2
   964  SIM_FLOW_DELAY               0     2
   965  SIM_FLOW_ENABLE              0     2
   966  SIM_FLOW_POS_X               0     9
   967  SIM_FLOW_POS_Y               0     9
   968  SIM_FLOW_POS_Z               0     9
   969  SIM_FLOW_RATE               10     4
   970  SIM_FLOW_RND              0.05     9
   971  SIM_FTOWESC_ENA              0     2
   972  SIM_FTOWESC_POW           4095     6
   973  SIM_GND_BEHAV               -1     2
   974  SIM_GPS2_ACC               0.3     9
   975  SIM_GPS2_ALT_OFS             0     4
   976  SIM_GPS2_BYTELOS             0     9
   977  SIM_GPS2_DISABLE             1     2
   978  SIM_GPS2_DRFTALT             0     9
   979  SIM_GPS2_GLTCH_X             0     9
   980  SIM_GPS2_GLTCH_Y             0     9
   981  SIM_GPS2_GLTCH_Z             0     9
   982  SIM_GPS2_HDG                 0     2
   983  SIM_GPS2_HZ                  5     2
   984  SIM_GPS2_LAG_MS            100     4
   985  SIM_GPS2_LCKTIME             0     4
   986  SIM_GPS2_NOISE               0     9
   987  SIM_GPS2_NUMSATS            10     2
   988  SIM_GPS2_POS_X               0     9
   989  SIM_GPS2_POS_Y               0     9
   990  SIM_GPS2_POS_Z               0     9
   991  SIM_GPS2_TYPE                1     2
   992  SIM_GPS2_VERR_X              0     9
   993  SIM_GPS2_VERR_Y              0     9
   994  SIM_GPS2_VERR_Z              0     9
   995  SIM_GPS_ACC                0.3     9
   996  SIM_GPS_ALT_OFS              0     4
   997  SIM_GPS_BYTELOSS             0     9
   998  SIM_GPS_DISABLE              0     2
   999  SIM_GPS_DRIFTALT             0     9
  1000  SIM_GPS_GLITCH_X             0     9
  1001  SIM_GPS_GLITCH_Y             0     9
  1002  SIM_GPS_GLITCH_Z             0     9
  1003  SIM_GPS_HDG                  0     2
  1004  SIM_GPS_HZ                   5     2
  1005  SIM_GPS_LAG_MS             100     4
  1006  SIM_GPS_LOCKTIME             0     4
  1007  SIM_GPS_LOG_NUM              0     4
  1008  SIM_GPS_NOISE                0     9
  1009  SIM_GPS_NUMSATS             10     2
  1010  SIM_GPS_POS_X                0     9
  1011  SIM_GPS_POS_Y                0     9
  1012  SIM_GPS_POS_Z                0     9
  1013  SIM_GPS_TYPE                 1     2
  1014  SIM_GPS_VERR_X               0     9
  1015  SIM_GPS_VERR_Y               0     9
  1016  SIM_GPS_VERR_Z               0     9
  1017  SIM_GRPE_ENABLE              0     2
  1018  SIM_GRPE_PIN                -1     2
  1019  SIM_GRPS_ENABLE              0     2
  1020  SIM_GRPS_GRAB             2000     4
  1021  SIM_GRPS_PIN                -1     2
  1022  SIM_GRPS_RELEASE          1000     4
  1023  SIM_GRPS_REVERSE             0     2
  1024  SIM_GYR1_BIAS_X              0     9
  1025  SIM_GYR1_BIAS_Y              0     9
  1026  SIM_GYR1_BIAS_Z              0     9
  1027  SIM_GYR1_RND                 0     9
  1028  SIM_GYR1_SCALE_X             0     9
  1029  SIM_GYR1_SCALE_Y             0     9
  1030  SIM_GYR1_SCALE_Z             0     9
  1031  SIM_GYR2_BIAS_X              0     9
  1032  SIM_GYR2_BIAS_Y              0     9
  1033  SIM_GYR2_BIAS_Z              0     9
  1034  SIM_GYR2_RND                 0     9
  1035  SIM_GYR2_SCALE_X             0     9
  1036  SIM_GYR2_SCALE_Y             0     9
  1037  SIM_GYR2_SCALE_Z             0     9
  1038  SIM_GYR3_BIAS_X              0     9
  1039  SIM_GYR3_BIAS_Y              0     9
  1040  SIM_GYR3_BIAS_Z              0     9
  1041  SIM_GYR3_RND                 0     9
  1042  SIM_GYR3_SCALE_X             0     9
  1043  SIM_GYR3_SCALE_Y             0     9
  1044  SIM_GYR3_SCALE_Z             0     9
  1045  SIM_GYR_FAIL_MSK             0     2
  1046  SIM_GYR_FILE_RW              0     2
  1047  SIM_IE24_ENABLE              0     2
  1048  SIM_IE24_ERROR               0     6
  1049  SIM_IE24_STATE              -1     2
  1050  SIM_IMUT1_ENABLE             0     2
  1051  SIM_IMUT2_ENABLE             0     2
  1052  SIM_IMUT3_ENABLE             0     2
  1053  SIM_IMUT_END                45     9
  1054  SIM_IMUT_FIXED               0     9
  1055  SIM_IMUT_START              25     9
  1056  SIM_IMUT_TCONST            300     9
  1057  SIM_IMU_COUNT                2     2
  1058  SIM_IMU_POS_X                0     9
  1059  SIM_IMU_POS_Y                0     9
  1060  SIM_IMU_POS_Z                0     9
  1061  SIM_INIT_ALT_OFS             0     9
  1062  SIM_INIT_LAT_OFS             0     9
  1063  SIM_INIT_LON_OFS             0     9
  1064  SIM_INS_THR_MIN            0.1     9
  1065  SIM_JSON_MASTER              0     2
  1066  SIM_LED_LAYOUT               0     2
  1067  SIM_LOOP_DELAY               0     6
  1068  SIM_MAG1_DEVID           97539     6
  1069  SIM_MAG1_DIA_X               0     9
  1070  SIM_MAG1_DIA_Y               0     9
  1071  SIM_MAG1_DIA_Z               0     9
  1072  SIM_MAG1_FAIL                0     2
  1073  SIM_MAG1_ODI_X               0     9
  1074  SIM_MAG1_ODI_Y               0     9
  1075  SIM_MAG1_ODI_Z               0     9
  1076  SIM_MAG1_OFS_X               5     9
  1077  SIM_MAG1_OFS_Y              13     9
  1078  SIM_MAG1_OFS_Z             -18     9
  1079  SIM_MAG1_ORIENT              0     2
  1080  SIM_MAG1_SCALING             1     9
  1081  SIM_MAG2_DEVID          131874     6
  1082  SIM_MAG2_DIA_X               0     9
  1083  SIM_MAG2_DIA_Y               0     9
  1084  SIM_MAG2_DIA_Z               0     9
  1085  SIM_MAG2_FAIL                0     2
  1086  SIM_MAG2_ODI_X               0     9
  1087  SIM_MAG2_ODI_Y               0     9
  1088  SIM_MAG2_ODI_Z               0     9
  1089  SIM_MAG2_OFS_X               5     9
  1090  SIM_MAG2_OFS_Y              13     9
  1091  SIM_MAG2_OFS_Z             -18     9
  1092  SIM_MAG2_ORIENT              0     2
  1093  SIM_MAG2_SCALING             1     9
  1094  SIM_MAG3_DEVID          263178     6
  1095  SIM_MAG3_DIA_X               0     9
  1096  SIM_MAG3_DIA_Y               0     9
  1097  SIM_MAG3_DIA_Z               0     9
  1098  SIM_MAG3_FAIL                0     2
  1099  SIM_MAG3_ODI_X               0     9
  1100  SIM_MAG3_ODI_Y               0     9
  1101  SIM_MAG3_ODI_Z               0     9
  1102  SIM_MAG3_OFS_X               5     9
  1103  SIM_MAG3_OFS_Y              13     9
  1104  SIM_MAG3_OFS_Z             -18     9
  1105  SIM_MAG3_ORIENT              0     2
  1106  SIM_MAG3_SCALING             1     9
  1107  SIM_MAG4_DEVID           97283     6
  1108  SIM_MAG5_DEVID           97795     6
  1109  SIM_MAG6_DEVID           98051     6
  1110  SIM_MAG7_DEVID               0     6
  1111  SIM_MAG8_DEVID               0     6
  1112  SIM_MAG_ALY_HGT              1     9
  1113  SIM_MAG_ALY_X                0     9
  1114  SIM_MAG_ALY_Y                0     9
  1115  SIM_MAG_ALY_Z                0     9
  1116  SIM_MAG_DELAY                0     4
  1117  SIM_MAG_MOT_X                0     9
  1118  SIM_MAG_MOT_Y                0     9
  1119  SIM_MAG_MOT_Z                0     9
  1120  SIM_MAG_RND                  0     9
  1121  SIM_ODOM_ENABLE              0     2
  1122  SIM_OH_MASK                  0     6
  1123  SIM_OPOS_ALT               584     9
  1124  SIM_OPOS_HDG               353     9
  1125  SIM_OPOS_LAT          -35.3633     9
  1126  SIM_OPOS_LNG           149.165     9
  1127  SIM_PARA_ENABLE              0     2
  1128  SIM_PARA_PIN                -1     2
  1129  SIM_PIN_MASK                 0     4
  1130  SIM_PLD_ALT_LMT             15     9
  1131  SIM_PLD_DIST_LMT            10     9
  1132  SIM_PLD_ENABLE               0     2
  1133  SIM_PLD_HEIGHT               0     9
  1134  SIM_PLD_LAT                  0     9
  1135  SIM_PLD_LON                  0     9
  1136  SIM_PLD_OPTIONS              0     2
  1137  SIM_PLD_ORIENT              24     2
  1138  SIM_PLD_RATE               100     6
  1139  SIM_PLD_TYPE                 0     2
  1140  SIM_PLD_YAW                  0     4
  1141  SIM_RATE_HZ               1200     4
  1142  SIM_RC_CHANCOUNT            16     2
  1143  SIM_RC_FAIL                  0     2
  1144  SIM_RICH_CTRL               -1     2
  1145  SIM_RICH_ENABLE              0     2
  1146  SIM_SAFETY_STATE             2     2
  1147  SIM_SERVO_SPEED           0.14     9
  1148  SIM_SHIP_DSIZE              10     9
  1149  SIM_SHIP_ENABLE              0     2
  1150  SIM_SHIP_OFS_X               0     9
  1151  SIM_SHIP_OFS_Y               0     9
  1152  SIM_SHIP_OFS_Z               0     9
  1153  SIM_SHIP_PSIZE            1000     9
  1154  SIM_SHIP_SPEED               3     9
  1155  SIM_SHIP_SYSID              17     2
  1156  SIM_SHOVE_TIME               0     6
  1157  SIM_SHOVE_X                  0     9
  1158  SIM_SHOVE_Y                  0     9
  1159  SIM_SHOVE_Z                  0     9
  1160  SIM_SONAR_GLITCH             0     9
  1161  SIM_SONAR_POS_X              0     9
  1162  SIM_SONAR_POS_Y              0     9
  1163  SIM_SONAR_POS_Z              0     9
  1164  SIM_SONAR_RND                0     9
  1165  SIM_SONAR_ROT               25     2
  1166  SIM_SONAR_SCALE        12.1212     9
  1167  SIM_SPEEDUP                  1     9
  1168  SIM_SPR_ENABLE               0     2
  1169  SIM_SPR_PUMP                -1     2
  1170  SIM_SPR_SPIN                -1     2
  1171  SIM_TA_ENABLE                1     2
  1172  SIM_TEMP_BFACTOR             0     9
  1173  SIM_TEMP_BRD_OFF            20     9
  1174  SIM_TEMP_START              25     9
  1175  SIM_TEMP_TCONST             30     9
  1176  SIM_TERRAIN                  1     2
  1177  SIM_THML_SCENARI             0     2
  1178  SIM_TIDE_DIR                 0     9
  1179  SIM_TIDE_SPEED               0     9
  1180  SIM_TIME_JITTER              0     4
  1181  SIM_TWIST_TIME               0     6
  1182  SIM_TWIST_X                  0     9
  1183  SIM_TWIST_Y                  0     9
  1184  SIM_TWIST_Z                  0     9
  1185  SIM_UART_LOSS                0     9
  1186  SIM_VIB_FREQ_X               0     9
  1187  SIM_VIB_FREQ_Y               0     9
  1188  SIM_VIB_FREQ_Z               0     9
  1189  SIM_VIB_MOT_HMNC             1     4
  1190  SIM_VIB_MOT_MASK             0     6
  1191  SIM_VIB_MOT_MAX              0     9
  1192  SIM_VIB_MOT_MULT             1     9
  1193  SIM_VICON_FAIL               0     2
  1194  SIM_VICON_GLIT_X             0     9
  1195  SIM_VICON_GLIT_Y             0     9
  1196  SIM_VICON_GLIT_Z             0     9
  1197  SIM_VICON_POS_X              0     9
  1198  SIM_VICON_POS_Y              0     9
  1199  SIM_VICON_POS_Z              0     9
  1200  SIM_VICON_TMASK              3     2
  1201  SIM_VICON_VGLI_X             0     9
  1202  SIM_VICON_VGLI_Y             0     9
  1203  SIM_VICON_VGLI_Z             0     9
  1204  SIM_VICON_YAW                0     4
  1205  SIM_VICON_YAWERR             0     4
  1206  SIM_WAVE_AMP               0.5     9
  1207  SIM_WAVE_DIR                 0     9
  1208  SIM_WAVE_ENABLE              0     2
  1209  SIM_WAVE_LENGTH             10     9
  1210  SIM_WAVE_SPEED             0.5     9
  1211  SIM_WIND_DIR               180     9
  1212  SIM_WIND_DIR_Z               0     9
  1213  SIM_WIND_SPD                 0     9
  1214  SIM_WIND_T                   0     2
  1215  SIM_WIND_TURB                0     9
  1216  SIM_WIND_T_ALT              60     9
  1217  SIM_WIND_T_COEF           0.01     9
  1218  SIM_WOW_PIN                 -1     2
  1219  SPRAY_ENABLE                 0     2
  1220  SR0_ADSB                     4     4
  1221  SR0_EXTRA1                   4     4
  1222  SR0_EXTRA2                   4     4
  1223  SR0_EXTRA3                   4     4
  1224  SR0_EXT_STAT                 4     4
  1225  SR0_PARAMS                   0     4
  1226  SR0_POSITION                 4     4
  1227  SR0_RAW_CTRL                 4     4
  1228  SR0_RAW_SENS                 4     4
  1229  SR0_RC_CHAN                  4     4
  1230  SR1_ADSB                     0     4
  1231  SR1_EXTRA1                   0     4
  1232  SR1_EXTRA2                   0     4
  1233  SR1_EXTRA3                   0     4
  1234  SR1_EXT_STAT                 0     4
  1235  SR1_PARAMS                   0     4
  1236  SR1_POSITION                 0     4
  1237  SR1_RAW_CTRL                 0     4
  1238  SR1_RAW_SENS                 0     4
  1239  SR1_RC_CHAN                  0     4
  1240  SR2_ADSB                     0     4
  1241  SR2_EXTRA1                   0     4
  1242  SR2_EXTRA2                   0     4
  1243  SR2_EXTRA3                   0     4
  1244  SR2_EXT_STAT                 0     4
  1245  SR2_PARAMS                   0     4
  1246  SR2_POSITION                 0     4
  1247  SR2_RAW_CTRL                 0     4
  1248  SR2_RAW_SENS                 0     4
  1249  SR2_RC_CHAN                  0     4
  1250  SR3_ADSB                     0     4
  1251  SR3_EXTRA1                   0     4
  1252  SR3_EXTRA2                   0     4
  1253  SR3_EXTRA3                   0     4
  1254  SR3_EXT_STAT                 0     4
  1255  SR3_PARAMS                   0     4
  1256  SR3_POSITION                 0     4
  1257  SR3_RAW_CTRL                 0     4
  1258  SR3_RAW_SENS                 0     4
  1259  SR3_RC_CHAN                  0     4
  1260  SR4_ADSB                     0     4
  1261  SR4_EXTRA1                   0     4
  1262  SR4_EXTRA2                   0     4
  1263  SR4_EXTRA3                   0     4
  1264  SR4_EXT_STAT                 0     4
  1265  SR4_PARAMS                   0     4
  1266  SR4_POSITION                 0     4
  1267  SR4_RAW_CTRL                 0     4
  1268  SR4_RAW_SENS                 0     4
  1269  SR4_RC_CHAN                  0     4
  1270  SR5_ADSB                     0     4
  1271  SR5_EXTRA1                   0     4
  1272  SR5_EXTRA2                   0     4
  1273  SR5_EXTRA3                   0     4
  1274  SR5_EXT_STAT                 0     4
  1275  SR5_PARAMS                   0     4
  1276  SR5_POSITION                 0     4
  1277  SR5_RAW_CTRL                 0     4
  1278  SR5_RAW_SENS                 0     4
  1279  SR5_RC_CHAN                  0     4
  1280  SR6_ADSB                     0     4
  1281  SR6_EXTRA1                   0     4
  1282  SR6_EXTRA2                   0     4
  1283  SR6_EXTRA3                   0     4
  1284  SR6_EXT_STAT                 0     4
  1285  SR6_PARAMS                   0     4
  1286  SR6_POSITION                 0     4
  1287  SR6_RAW_CTRL                 0     4
  1288  SR6_RAW_SENS                 0     4
  1289  SR6_RC_CHAN                  0     4
  1290  SRTL_ACCURACY                2     9
  1291  SRTL_OPTIONS                 0     6
  1292  SRTL_POINTS                300     4
  1293  STAT_BOOTCNT                 9     4
  1294  STAT_FLTTIME              1127     6
  1295  STAT_RESET                   1     6
  1296  STAT_RUNTIME             10008     6
  1297  SUPER_SIMPLE                 0     2
  1298  SURFTRAK_MODE                1     2
  1299  SURFTRAK_TC                  1     9
  1300  SYSID_ENFORCE                0     2
  1301  SYSID_MYGCS                255     4
  1302  SYSID_THISMAV                1     4
  1303  TCAL_ENABLED                 0     2
  1304  TELEM_DELAY                  0     2
  1305  TEMP1_TYPE                   0     2
  1306  TEMP2_TYPE                   0     2
  1307  TEMP3_TYPE                   0     2
